# Phoenix SDR Correlated Marker Log v1.2.0+40.0a7f527-dirty
# Started: 2025-12-17 16:56:52
time,timestamp_ms,marker_num,duration_ms,energy,snr_db,confidence
16:57:03,11473.9,1,911.4,0.0000,0.0,LOW
16:59:03,131169.3,2,998.4,0.0068,16.7,HIGH
