# Phoenix SDR WWV Tone Tracker (500 Hz) v1.2.0+40.0a7f527-dirty
# Started: 2025-12-17 16:56:52
# FFT: 4096-pt, 2.93 Hz/bin, 341.3 ms frame
time,timestamp_ms,measured_hz,offset_hz,offset_ppm,snr_db,valid
16:56:52,0.0,500.000,0.000,0.00,5.8,NO
16:56:53,341.3,500.000,0.000,0.00,4.2,NO
16:56:53,682.7,500.000,0.000,0.00,4.7,NO
16:56:53,1024.0,500.000,0.000,0.00,4.9,NO
16:56:54,1365.3,500.000,0.000,0.00,6.9,NO
16:56:54,1706.7,500.000,0.000,0.00,6.7,NO
16:56:54,2048.0,500.000,0.000,0.00,5.9,NO
16:56:55,2389.3,500.000,0.000,0.00,8.8,NO
16:56:55,2730.7,500.000,0.000,0.00,3.7,NO
16:56:55,3072.0,497.370,-2.630,-0.05,11.2,YES
16:56:56,3413.3,500.000,0.000,0.00,6.0,NO
16:56:56,3754.7,500.000,0.000,0.00,5.6,NO
16:56:56,4096.0,500.000,0.000,0.00,8.4,NO
16:56:57,4437.3,500.000,0.000,0.00,8.4,NO
16:56:57,4778.7,500.000,0.000,0.00,6.3,NO
16:56:58,5120.0,500.000,0.000,0.00,7.1,NO
16:56:58,5461.3,500.000,0.000,0.00,7.4,NO
16:56:58,5802.7,500.000,0.000,0.00,7.4,NO
16:56:59,6144.0,500.000,0.000,0.00,3.1,NO
16:56:59,6485.3,500.000,0.000,0.00,5.9,NO
16:56:59,6826.7,500.000,0.000,0.00,-1.6,NO
16:57:00,7168.0,500.000,0.000,0.00,4.2,NO
16:57:00,7509.3,500.000,0.000,0.00,4.3,NO
16:57:00,7850.7,500.000,0.000,0.00,2.9,NO
16:57:01,8192.0,500.000,0.000,0.00,6.8,NO
16:57:01,8533.3,500.000,0.000,0.00,8.5,NO
16:57:01,8874.7,500.000,0.000,0.00,4.3,NO
16:57:02,9216.0,500.000,0.000,0.00,8.9,NO
16:57:02,9557.3,500.000,0.000,0.00,7.3,NO
